"","상호명","지점명","상권업종대분류명","상권업종중분류명","상권업종소분류명","행정동명","도로명주소","경도","위도","행정동코드"
"14472","카페본스",NA,"음식","커피점/카페","커피전문점/카페/다방","방학2동","서울특별시 도봉구 도당로15길 6",127.036941704296,37.6659539238135,1132070000
"14473","복고다방","목동하이페리온점","음식","커피점/카페","커피전문점/카페/다방","목1동","서울특별시 양천구 목동서로 260-1",126.86910232275,37.5242729920511,1147051000
"14474","소리마을까페",NA,"음식","커피점/카페","커피전문점/카페/다방","길음1동","서울특별시 성북구 삼양로9길 14-7",127.021982146521,37.6087323067568,1129066000
"14475","고다방","대치점","음식","커피점/카페","커피전문점/카페/다방","대치2동","서울특별시 강남구 삼성로64길 5",127.060492030464,37.5004417437022,1168061000
"14476","커피트레인",NA,"음식","커피점/카페","커피전문점/카페/다방","삼전동","서울특별시 송파구 석촌호수로 148",127.093347324374,37.5069338062733,1171061000
"14477","만화카페산장",NA,"음식","커피점/카페","커피전문점/카페/다방","남영동","서울특별시 용산구 한강대로81길 22",126.971495285703,37.54256324378,1117053000
"14478","콩다방미쓰김",NA,"음식","커피점/카페","커피전문점/카페/다방","이문1동","서울특별시 동대문구 이문로 76",127.058640223976,37.5937937992658,1123074000
"14479","설화",NA,"음식","커피점/카페","커피전문점/카페/다방","양평2동","서울특별시 영등포구 양평로 94",126.896898875031,37.5365467686933,1156062000
"14480","하빈",NA,"음식","커피점/카페","커피전문점/카페/다방","미성동","서울특별시 관악구 법원단지5길 5",126.919370119419,37.4745823669428,1162076500
"14481","포포리POPORI",NA,"음식","커피점/카페","커피전문점/카페/다방","연남동","서울특별시 마포구 연남로5길 8",126.921331164756,37.5622358580217,1144071000
"14482","에스프레소",NA,"음식","커피점/카페","커피전문점/카페/다방","홍제1동","서울특별시 서대문구 통일로 391",126.948169565158,37.5846796028019,1141062000
"14483","해초공차6.0",NA,"음식","커피점/카페","커피전문점/카페/다방","녹번동","서울특별시 은평구 은평로 193",126.928982181314,37.6017888898987,1138051000
"14484","동인당베이커리카페",NA,"음식","커피점/카페","커피전문점/카페/다방","성내3동","서울특별시 강동구 양재대로81길 26",127.132803868102,37.5231337658927,1174066000
